"No.","Time","Source","Destination","Protocol","Length","Info"
"92","6.520961051","94.130.237.200","100.94.78.223","TLSv1.3","361","Application Data"
"93","6.520961271","94.130.237.200","100.94.78.223","TLSv1.3","252","Application Data"
"94","6.520964862","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2655 Ack=42555 Win=31872 Len=0 TSval=1610299980 TSecr=2726639813"
"95","6.520965808","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2655 Ack=42741 Win=31872 Len=0 TSval=1610299980 TSecr=2726639813"
"96","6.523181365","100.94.78.223","94.130.237.200","TLSv1.3","101","Application Data"
"97","6.625180034","94.130.237.200","100.94.78.223","TLSv1.3","1514","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"98","6.625223954","94.130.237.200","100.94.78.223","TLSv1.3","2962","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"99","6.625233471","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=47085 Win=31872 Len=0 TSval=1610300084 TSecr=2726639917"
"100","6.625303293","94.130.237.200","100.94.78.223","TLSv1.3","1514","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"101","6.625607917","94.130.237.200","100.94.78.223","TLSv1.3","2962","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"102","6.625612515","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=51429 Win=31872 Len=0 TSval=1610300085 TSecr=2726639917"
"103","6.625716963","94.130.237.200","100.94.78.223","TLSv1.3","1514","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"104","6.625801696","94.130.237.200","100.94.78.223","TLSv1.3","4410","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"105","6.625805491","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=57221 Win=31872 Len=0 TSval=1610300085 TSecr=2726639918"
"106","6.625922790","94.130.237.200","100.94.78.223","TLSv1.3","2962","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"107","6.625926448","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=60117 Win=31872 Len=0 TSval=1610300085 TSecr=2726639918"
"108","6.626015507","94.130.237.200","100.94.78.223","TLSv1.3","4410","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"109","6.626019633","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=64461 Win=31872 Len=0 TSval=1610300085 TSecr=2726639918"
"110","6.626200329","94.130.237.200","100.94.78.223","TLSv1.3","2962","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"111","6.626207502","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=67357 Win=31872 Len=0 TSval=1610300085 TSecr=2726639918"
"112","6.626394876","94.130.237.200","100.94.78.223","TLSv1.3","2962","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"113","6.626401585","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=70253 Win=31872 Len=0 TSval=1610300085 TSecr=2726639919"
"114","6.626604333","94.130.237.200","100.94.78.223","TLSv1.3","1514","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"115","6.667122078","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=71701 Win=31872 Len=0 TSval=1610300126 TSecr=2726639919"
"116","6.668719087","94.130.237.200","100.94.78.223","TCP","66","443  >  46500 [ACK] Seq=71701 Ack=2690 Win=64128 Len=0 TSval=2726639961 TSecr=1610299982"
"117","6.730607099","94.130.237.200","100.94.78.223","TLSv1.3","4410","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"118","6.730627190","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=76045 Win=31872 Len=0 TSval=1610300190 TSecr=2726640023"
"119","6.730642238","94.130.237.200","100.94.78.223","TLSv1.3","1514","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"120","6.730644643","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=77493 Win=34816 Len=0 TSval=1610300190 TSecr=2726640023"
"121","6.730921740","94.130.237.200","100.94.78.223","TLSv1.3","2962","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"122","6.730926060","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=80389 Win=40576 Len=0 TSval=1610300190 TSecr=2726640023"
"123","6.730996638","94.130.237.200","100.94.78.223","TLSv1.3","1984","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"124","6.730999065","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2690 Ack=82307 Win=44416 Len=0 TSval=1610300190 TSecr=2726640023"
"125","11.243664347","100.94.78.223","94.130.237.200","TLSv1.3","159","Application Data"
"126","11.348944915","94.130.237.200","100.94.78.223","TCP","66","443  >  46500 [ACK] Seq=82307 Ack=2783 Win=64128 Len=0 TSval=2726644641 TSecr=1610304703"
"127","11.509262106","94.130.237.200","100.94.78.223","TLSv1.3","1195","Application Data"
"128","11.509262237","94.130.237.200","100.94.78.223","TLSv1.3","332","Application Data"
"129","11.509308790","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2783 Ack=83436 Win=47360 Len=0 TSval=1610304968 TSecr=2726644801"
"130","11.509327424","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2783 Ack=83702 Win=50176 Len=0 TSval=1610304968 TSecr=2726644801"
"131","11.509395289","94.130.237.200","100.94.78.223","TLSv1.3","347","Application Data"
"132","11.509399255","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2783 Ack=83983 Win=53120 Len=0 TSval=1610304968 TSecr=2726644801"
"133","11.509528434","94.130.237.200","100.94.78.223","TLSv1.3","254","Application Data, Application Data"
"134","11.509532815","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2783 Ack=84171 Win=56064 Len=0 TSval=1610304969 TSecr=2726644802"
"135","11.510263512","94.130.237.200","100.94.78.223","TLSv1.3","138","Application Data"
"136","11.510263637","94.130.237.200","100.94.78.223","TLSv1.3","125","Application Data"
"137","11.510263667","94.130.237.200","100.94.78.223","TLSv1.3","219","Application Data"
